hash,session_id,generated_at,ip,city,priorities
ebd956c1f0b97980,session_1762078445225_f06rld5jj,2025-11-02T09:32:45.461683,127.0.0.1,,"{""custo"": ""100.0"", ""qualidade"": ""0.0"", ""prazo"": ""0.0""}"
757176cbc8e25602,session_1762078445225_f06rld5jj,2025-11-02T09:43:59.066377,127.0.0.1,,"{""custo"": ""21.3"", ""qualidade"": ""30.3"", ""prazo"": ""48.4""}"
f4f395f9aba38bac,session_1762078445225_f06rld5jj,2025-11-02T10:43:40.038797,127.0.0.1,,"{""custo"": ""99.0"", ""qualidade"": ""0.2"", ""prazo"": ""0.8""}"
ab64684024b38b38,session_1762096551634_o0v2j7mb8,2025-11-02T12:22:24.469126,127.0.0.1,,"{""custo"": ""75.4"", ""qualidade"": ""16.0"", ""prazo"": ""8.6""}"
dea0ca5f5d45f89f,session_1762096551634_o0v2j7mb8,2025-11-02T12:47:49.746267,127.0.0.1,,"{""custo"": ""0.8"", ""qualidade"": ""93.1"", ""prazo"": ""6.1""}"
0d5b3de3d60971d1,session_1762096551634_o0v2j7mb8,2025-11-02T12:58:56.125610,127.0.0.1,,"{""custo"": ""98.1"", ""qualidade"": ""0.2"", ""prazo"": ""1.7""}"
478f57e0ab4978a1,session_1762449858897_iu8i2p8eo,2025-11-06T14:24:49.394309,127.0.0.1,,"{""custo"": ""56.4"", ""qualidade"": ""25.3"", ""prazo"": ""18.3""}"
093c9e99efea5917,session_1762449858897_iu8i2p8eo,2025-11-06T18:59:41.054883,127.0.0.1,,"{""custo"": ""33.3"", ""qualidade"": ""33.3"", ""prazo"": ""33.3""}"
f35d9631a877d32d,session_1762449858897_iu8i2p8eo,2025-11-06T19:09:15.828547,127.0.0.1,,"{""custo"": ""33.3"", ""qualidade"": ""33.3"", ""prazo"": ""33.3""}"
70ee0f628848ca60,session_1762449858897_iu8i2p8eo,2025-11-06T19:09:52.993884,127.0.0.1,,"{""custo"": ""33.3"", ""qualidade"": ""33.3"", ""prazo"": ""33.3""}"
fb234bbd869239e5,session_1762449858897_iu8i2p8eo,2025-11-06T19:23:47.086876,127.0.0.1,,"{""custo"": ""33.3"", ""qualidade"": ""33.3"", ""prazo"": ""33.3""}"
4061fa6ccf972520,session_1762449858897_iu8i2p8eo,2025-11-06T19:23:51.609294,127.0.0.1,,"{""custo"": ""33.3"", ""qualidade"": ""33.3"", ""prazo"": ""33.3""}"
93d3fe5e8b97fbc2,session_1762470029731_e4g0auqr5,2025-11-06T20:00:46.904299,127.0.0.1,,"{""custo"": ""33.3"", ""qualidade"": ""33.3"", ""prazo"": ""33.3""}"
6fade623069b6805,,2025-11-14T10:19:46.105937,N/A,N/A,"{""r"": 18.5, ""g"": 44, ""b"": 37.5}"
bc3eaeeb6d07f794,session_1763413724076_36wunofiw,2025-11-17T18:09:12.897310,127.0.0.1,,"{""r"": 33.3, ""g"": 33.3, ""b"": 33.3}"
5d64e49a0bec624a,session_1763434818055_6i8uvrqzq,2025-11-18T01:17:54.697670,127.0.0.1,,"{""r"": 33.3, ""g"": 33.3, ""b"": 33.3}"
95066d6a16ee9c60,session_1763434818055_6i8uvrqzq,2025-11-18T01:45:16.400340,127.0.0.1,,"{""r"": 33.3, ""g"": 33.3, ""b"": 33.3}"
